,reviewText,sentiment,prediction
8070,"The ""Lovin' You"" on this package is the Minnie Ripperton song, NOT the Leiber-Stoller song ""Loving You"" that Elvis sang in the movie of the same name.  Very sloppy A&R work!",negative,positive
8077,Wish it had the other shattered dreams song I heard on youtube instead of that one in album but overall good album...,positive,negative
8080,"Also, quality just isn't very good, not that i expected it to be all that great on a recording that old. But still a nice trip down memory lane.",negative,positive
8081,"First off, I will say that this music is not really in my genre (I'm more of an orchestral person), but I will say that these guys do some pretty good music.

Ironically enough, they pulled me aside in one of the local malls out here, and asked if I had some time to listen to one of their tracks. Even though I was into a rather obscure musical blend, they still managed to pull out a track that I was instantly drawn to. Now, I could have walked away from there, but instead bought this CD from them in person for $20.00 - All the tracks on the disc kept me listening.

I guess in conclusion - I have to give them 4.5 stars (-.5 because although I like the music, it's still outside of my normal genre), and for providing me with an awesome disc to listen to.

-Lobster",positive,negative
8084,"This is a very different version of the classic song, I recommend it to those who aren't attached to the doris day version.",positive,negative
8088,"In Edward Teller's wikipedia entry , we see the richness of a SINGLE contributor to the Manhattan Project.

If the rest of the world UNDERSTOOD what has been hidden and GROWN since the end of WW2 and the two atomic bombings, then they would know better than to mess with us instead of being fools.",positive,negative
8090,"David Crosby & Graham Nash still sound great, their hearts are in the right place, the price is right, unfortunately the song...?",negative,positive
8097,Very good listing,positive,negative
8107,Does not help with sleep,negative,positive
8124,"I am an audiophile with a serious music rig and I want don't want the Diet Coke version of this album. I've bought it, because I have no choice, in MP3, but am hoping for a CD release.

Otherwise, man, what an album, more people should be aware of this guy.",positive,negative
8133,ok,positive,negative
8140,"Good sound effect -- worked for me.
Just wish I could have more than one sound effect for the price.",positive,negative
8141,No voice. Instrumentals only.,negative,positive
8150,I RATED IT A 5 BECAUSE HE HAS BECAME MY FAVORITE SINGER. HE NEEDS MORE SONGS ON HERE WOULD BUY THEM.,positive,negative
8160,"First of all, I'd like to thank Amazon for making this recording available as downloadable Mp3's. At the moment (9/6/15), this CD is not available, but the disc with both Beach Boys Songbooks can be had for $466-!400.00. In other words, essentially unavailable. I've noticed that Amazon is beginning to do this with other out of print CD's, usually 60's catalog, and I can only encourage them to do more of this because there is an audience out there for these titles if they're not $100.

The Hollyridge Strings were actually a rather radical idea for their day. Until they put out The Beatles Songbook in June, 1964, teen-pop, the music of Top 40 Radio, was generally considered off-limits for an easy listening instrumental treatment. You didn't here orchestral arrangements of the hits of Fabian, Dion and the Belmonts or the Everly Brothers on the radio or in restaurants and offices. Those songs were kids' songs and the whole genre of rock'n'roll was considered musically worthless. Then came the Beatles and that changed everything. By March, 1965 Time Magazine ran a cover story on the pop/rock scene, by Autumn, 1965 the Beatles would record Yesterday with a string quartet and get airplay on ""Adult"" stations and by 1967 Leonard Bernstein would be praising pop on a network TV special.

But this was in 1964, long before all that, when the idea of orchestral arrangements of Beatles and Beach Boys songs must have seemed like a crazy idea. The project may have been just Capitol Records (who were the Beatles U.S. label) way of further jumping on the Beatlemania Bandwagon as everybody else was trying to do, or it may have been a creative person at Capitol recognizing the melodious sound of the Beatles songs and how it would easily transpose. The work in any case fell to Stu Phillips, a noted composer-arranger whether or not it was his original idea. He was a graduate of the Eastman School of Music who had made easy listening albums for Capitol under his own name, and for Colpix Records produced hit songs Johnny Angel (Shelly Fabares), My Dad (Paul Peterson), Blue Moon (Marcels) and Goodbye Cruel World (James Darren). It was this familiarity with contemporary pop that gave him the ability to orchestrate it without losing its vitality.

The Beach Boys Songbook was the second release by the Hollyridge Strings who, of course, were whatever studio orchestra musicians Capitol had at the time, and it came out in the Fall of 1964. The sound of the orchestra is very transparent (helped by excellent remastering here), with the strings accompanied by horns, trumpets, flutes and extensive use of piano. As you'd expect, songs like Don't Worry Baby and In My Room lend themselves easily to this treatment, and She knows Me Too Well is a particular standout with its elaborate piano part. But the more rocking songs come out intact with all their punch, even Surfin' USA and I Get Around, which boldly leads off the album. This is no sleepy Mantovani strings oversaturating the tunes but an authentically creative reimagining of Brian Wilson's melodies that retains their spirit.

This album got as much play from me as the actual Beach Boys albums in late 1964 (note because Capitol also had the Beach Boys a tune like Wendy which was on the Top 40 when this album was released was able to be included). Stu Phillips went on to compose many movie scores and television themes and is noted for his music for Battlestar Gallactica.",positive,negative
8170,Esta cantante grita mucho!,negative,positive
8171,"This is a great version, has a bit of grit & rawness to it.  The Vig Nevermind is so clean & polished.",positive,negative
8176,"It is so difficult to find good music for character class and I was so happy to buy this CD made by V.Issaev. It includs many melodies from different countries:from russian to spanish, hungarian, italian, gypsie,oriental, and so on...
A pianist is also very good and givs certain character and rithm to each melody. As a professional dancer and teacher, I'm completely satisfied with this CD and looking forvard for next edition. Thank you Vladimir!",positive,negative
8181,"This ""Happy Anniversary"" is the best version. I have been looking for this for sometime. I believe the original version from an Old cartoon show. But the Chips do it very well.",positive,negative
8209,"Probably my most listened to album, and I'm usually a fan of prog rock.",positive,negative
8210,I'm a fan but this song is over produced.,negative,positive
8216,"Again, some of his early music which he had no control over is too busy/over produced but that voice is there and fully expressed in Flowers in Hand and Fei which are great.",negative,positive
8219,The Rifles are awesome - this is an imposture band.,negative,positive
8229,"It says workout... All it is, is a CD of oldies music... and not that many.",negative,positive
8239,"Seems like anything Juan Carlos Lozano makes is pure ear candy. This album sounds somewhat different to his past albums with the band Morbo, but he still manages to create beautiful soothing sounds and catchy hooks. The tempo of the songs is also slower and the lyrics more personal, never intending to possibly land any hits on the charts and therefore the production is noticeably crafted with care. Because he will always be linked to the band that brought him to the spotlight, Moenia, it is fair to compare this production with his fellow former band member Alfonso Pichardo, whose solo release went unnoticed but it was due to being hardly an effort or anything novel. That isn't the case with ""Nada Haces Por Mi."" Repeat listens will be required but simply because it is very enjoyable album.",positive,negative
8244,"Bought this because it's the closing track in Princess Jellyfish.  It wasn't available last time I looked for it, so I was super happy to see it when I was trolling Amazon for anime themes last night.

There's another version available, too (listing the artist as ""Team Akihabara"").  That version is 1:54, while this one is just over 3:40.  (I bought both.)  This one seems to be the full-length track while the other seems to be the cut version that runs into and during the Princess Jellyfish closing credits.  (At least, I'm pretty sure that's the difference.  According to YouTube, the runtime on the closing credits is around 1:30, and that's *without* about 25-30 seconds of the ""Love is coming back"" bit and the musical lead-in to the primary lyrics. And btw, both versions include the intro.)  While this particular compilation credits the composer/arranger (Yamaguchi Takashi), it doesn't credit the artist, which Google tells me is Sambomaster.

Such a cute song!  (And a cute show, too.)",positive,negative
8250,My daughters love this band.  Most of their music is pretty tolerable and harmless for adults too.  The show is a little corny.,positive,negative
8276,"Exactly what a good dub is... a complete reworking of the original mix without going overboard! If you are adventurous and will admit you like the Murk vocal, but don't want to sing with the Spice Girls, this dub is a perfect answer.",positive,negative
8278,"People like what they like, everyone likes different music.

The fact that I like this has nothing to do with anyone else liking it.",positive,negative
8297,"Very good CD. No disappointment here. I enjoy listening to this artist. First discovered him on ""Streets of New York"", now I have three of his releases.",positive,negative
8305,Love the song!! Although I am not sure why it is not showing u in my library but I am confident in Amazon to fix that.,positive,negative
8308,"Love this song, I always buy my music here on amazon, the cloud player lets me take it anywhere, and I even have some purchases here from CD's I bought 7 years ago!! and the digital tracks just automatically updated to my amazon cloud player! awesome!",positive,negative
8317,"absolutely love Celine Dion's singing, but this oine isn't good at all in my opinion.",negative,positive
8320,A good representation of the Pop music genre of the 70's.,positive,negative
8341,"This album would be a on a background playlist for a party instead of thumpin down the road with one awesome song.  Zoe rocks the tour, but they seem to be on the verge of just getting into the studios and mixing it up to a Bohemian lather once again.
Maybe this was just a filler on their way to the next breakthrough?  :-D",negative,positive
8348,I have been looking for a MP3 exercise program to use on my Galaxy 5.0 player. This is it. I am in a wheelchair and this program fits my needs very well. It is not too hard nor too easy. It is not to fast nor to slow. It is just right.,positive,negative
8360,"Can't stop listening to it, it's that good. Great way to spend my last dollar on my amazon account.
You rock Max.",positive,negative
8384,"Never heard it before.  I was looking for something else and came across this and fell in love with the music.  I bought it and have not regretted it.  Simply, beautiful.  There is an amazing amount of feeling in this song.  Unable to describe.  Hear the sample for your self.",positive,negative
8395,ORDERED THIS FOR MY MOM'S PHONE,positive,negative
8405,"These are definitely NOT ORIGINAL recordings although ""With A Girl Like You"" and ""You Really Turn Me On"" are close. Gerry Marsden and Eric Burdon are STILL GREAT, and you can clearly understand the words in the last verse of House of the Rising Sun. Also really good performances from The Swinging Blue Jeans and Brian Poole.",negative,positive
8407,"kind of silly to review music...either you like it or you don't. Not housey not trancy, just good old fashioned dancy",positive,negative
8412,"This is a rare LP that my grandmother got from a relative decades ago. Unfortunately, her copy was lost, and I took it upon myself to track it down. Now I have a copy of this beloved album, and I can't wait to play it for her again! I can only imagine how many memories it will bring back for her...",positive,negative
8427,People who like logic or a system for culling reason from life probably feel like this when a trickster has flooded the sacred meadow with contingency. The basic idea is about risk.,positive,negative
8429,"First of all, I have been looking for this EP for quite some while so the fact that I got and for $4 was already a win-win situation for me. But what impressed me the most is I ordered this on March 8th; on a Saturday no less and I received it on March 10th. I was expecting to receive it within a week. But two days!! Wow. It was in excellent condition and new as advertised.",positive,negative
8439,This group a great band to listen to. I only gave them 4 stars because they are not on the same level as either Slime or Wizo.,positive,negative
8456,"Kick ass song.  Only thing I bought off the CD, had a $1 amazon digital credit to use.",positive,negative
8462,"Melia - Soundproof Walls (Independent)
A musician for just four years, Melia Kimberly Maccarone has already made serious inroads into a promising career. ""Soundproof Walls"" is her debut long-player, recorded with her band (Dominic Ciaccia - drums, Tim Latus - bass, Rob Cerame - guitar), with Melia responsible for lead guitar, vocals and the songs. That's quite a load for a 20-year old, but she seems completely unfazed, and her all-round performance is incredibly confident, leading her band through a collection of brash pop-punk and upbeat ska-rock.

The production on ""Soundproof"" is gloriously vibrant; the music almost leaps from the speakers. It's absolutely appropriate, as there's nothing lo-fi or half-hearted here. Melia's songs are focused and vivacious, falling somewhere between the navet and pop thrill of early Blondie and No Doubt's Jamaican infused bombast. Surely it can be no coincidence that ""I Wanna Be Your Girl"" brings out Melia's inner Gwen Stefani. It remains a highlight of the seven-track set, though there's no shortage of competition. ""Checking Out"" possesses a great vocal hook and serious guitars; ""Sleaze Parade"" is complex and technical, and thoroughly enjoyable. ""Stay"" indicates a talent for balladry, which might come in handy, should the mainstream come calling.",positive,negative
8486,It's not exactly what I was looking for but will work for what I want,positive,negative
8496,"This is a song that should resonate with every true believer. God didn't have to send His Son to save wretches like ourselves, yet He did. He removed the stain of sin & covered us in righteousness, making us new creatures in Him. He has truly made something out of nothing.",positive,negative
8507,"Excellent sounds, but the track lacks enthusiasm. Redundant sounds with no awe inspiring transitions. Check out his other tracks though.",negative,positive
8513,"Pointless indeed! I thought it was a steal for the price. This line up of SPOCK'S doesn't even have NICK D'VIRGILIO. It's ALAN MORSE, DAVE MEROS, RYO OKUMOTO, JIMMY KEEGAN and TED LEONARD (of ENCHANT) on Vocals",negative,positive
8521,".............. and, having heard the song many times back in the seventies, wasn't disappointed.
I'm a devotee of REAL, TRADITIONAL country music; what I call ""seriously logistical"", not the Nashville-influenced ""really-lurv-ya-hurny"" sort of mass-market junk, nor the pestilential yodelling of the old-timers, which butchered many a fine traditional country song,and set country's cause back by decades.
""Nobody Home ........"" fits my tastes admirably.",positive,negative
8523,She duets w/ Nick Cave on this song - this is one of the best cover songs I've ever heard - drop the needle & let it play,positive,negative
8530,Willie like a fine wine (I'm told) gets better as it ages. I should have made cheese my example because I'm somewhat familiar with that. Gimme Willie in the 2000's.,negative,positive
8558,"Alexa, loop wind chimes and forest ambience
Alexa, set sleep time for forty five minutes

This plays wind chimes and forest embience in a continuous loop and then stops playing after forty five minutes. Our formula for restful sleep. Cheers.",positive,negative
8568,"Mario is an up and coming artist. I think he is actually going to be around a while because he has good vocals. It's just sad that songs like this don't get played at all. This single is strong and I think you would like it too. I bought it because if I'm going to waste some money mines well get something either different or something you haven't heard before. I think Mario, Trey Songz, Marques Houston, Governor, and Chris Brown are all in the same group. I can't wait to see who's still standing 5 years from today! Great song!",positive,negative
8569,"ok well what can i say in 20 words? pro's: it was cool when i have the $ i will buy a hard copy of the whole thing
con's; you can NOT, NOT! burn it to a cd so unless u only listen to music on ur computer then ur good but if u like to listen to it any where then IT IS NOT GOOD AT ALL u might even call it a waste on $ hey God bless hope this helped",positive,negative
8582,Like it a lot. play it when I DJ. I just hate this word minimum for reviews. Why is it needed?,positive,negative
8583,Great,negative,positive
8598,"Enjoyed this classical music banjo.  Seems this album is meant to be played as a continuous unit, in that order, so that each track runs into the next.  Otherwise, alone, most of the tracks just seem to end before the number is finished.  I normally listen on shuffle  to hear a variety and these numbers that end short annoy.  But this is all i have against the album.  The vocals aren't great but add nicely to the overall sound.",positive,negative
8613,I like these songs,positive,negative
8614,"The title says it even though its free i reccomend getting ""to whom the bell tolls"" that a good song. This song dosent say anything and is not enjoyable too listen too.",negative,positive
8615,OK...Would have been nice to see this in higher bitrate,positive,negative
8619,"Good but cover was really bad,torn.",positive,negative
8636,"strangely, playing this track in the background causes increased speeding along interstate 92 (which fortunately results in heightened Wanted levels...more speed points for me)
Thanks again :)",positive,negative
8638,"Excelente CD... despus de participar con Orquesta La Solucin nos trae esta magistral produccin de la mano de Arturo Ortiz y un equipo de primera en los Coros nada ms y nada menos Tito Allen y Nestor Sanchez tengo este cd y se los recomiendo al 100 % lo calific con 5 Estrellas, Que Viva la Salsa.",positive,negative
8641,"I wanted to use this with my Sunday School class as we studied how Jesus Calmed the Storm -- well, as one of the kids pointed out -- there's no thunder.",negative,positive
8673,"I love Naxos recordings and I have most of these pieces.  Personally, I would hoped for the price that they could have included 100 pieces as opposed to 50 -- since many of the other samplers do this.  You can't go wrong with Naxos!",positive,negative
8674,"Glad to learn you have the mp3 upload here!  I loved this LP when it came out in 1976 and still own it.  ""Give You All The Love (Inside Of Me)"" was the finest piece on 'Mother's Finest,' in my opinion!  Bought two other mp3s; likely, I'll eventually buy them all!  Thanks an amazon lot!",positive,negative
8685,Love my music I like getting my music from amazon music store MP3 player,positive,negative
8687,Gucci mane separated himself From The Rest Of The Pack With This album. I haven't heard a track from this album that I didn't like.,positive,negative
8692,"Again, not Mali's best. Tiffany, she a good singer, however, not a favorite.",negative,positive
8694,Just what I wanted,positive,negative
8698,"This could be a decent acoustic song to some, but I had a hard time understanding the lyrics. I also did not like the lead singer. Still, it s a pleasant listen when its on.",negative,positive
8710,Where is the original Eagles version? But this one is ok.,positive,negative
8717,"I really liked this song when it was out in the early 70's, but this version sounds like a remake or remix - I prefer the original.",positive,negative
8733,"This song suck  on this album,  replace it with a new one on randy Travis ' s album: greatest hits forever amen cd .",negative,positive
8737,Great for a luau!,positive,negative
8761,"This is Annie Lennox's most haunting song that I know of.  In the heat of 110 degrees of summer, I get cooled off by Ms. Linnox's wintery lyrics.  She was still in Eyrithmics I believe and she should have been nominated for Best Original Song at the Oscars...and won.",negative,positive
8774,i like the woman singer singing that's what friends are for,negative,positive
8786,Love Maroon 5 and nothing to hate about the song,positive,negative
8798,Very goog,positive,negative
8799,I bought songs from this in the early morning hours and after listening to them a few times I don't know what possessed me to buy them in the first place. The album would make an excellent video game album.,negative,positive
8815,"Issa, me thinksa yousa gonna find thisa sadda thing, thadda you cantsa singa goodsa songsa. - Jar Jar, your biggest fan.",negative,positive
8819,"When you think of classic Tal Farlow, you think of the Verve sessions. Equivalent to the Sinatra Capitol recordings as a great artist at their absolute best.",positive,negative
8821,Could not follow with hymnal,negative,positive
8828,I'm to sure what  this artist is up to. The music has little focus and it is only minimally entertaining.,negative,positive
8854,damnd gingers...,positive,negative
8856,"This is just too funny.  It sounds dirty, but isn't and I found it just too funny not to download.",positive,negative
8867,I need to know When received .this Item.please. thanks..nestor. pacheco,negative,positive
8868,Figure is the bomb,positive,negative
8872,"I have always been a fan of Monte Pittman's guitar playing. I love the work he has done with Madonna and Adam Lambert. Saw him live on Adam's GlamNation tour. Absolutely fantastic show. Unofortunately, this album, although, showcasing his guitar playing, is not impressive. The songs are indistinguishable. Wishing Monte the best of luck in the future!! Sadly, this just does not do it for me!!",negative,positive
8884,"This is a very welcome release.

I never thought of Ninth as a full album. Probably because I only found 7 out of 11 songs actually listenable. The others, however, were his best work ever!

And thats where this release comes in. Of the 6 songs, one is already on Ninth, and a further 2 are unlistenable. However, the remaining 3, plus the 7 on Ninth, that makes for a full, excellent, 5 out of 5 listening experience.

Most artists record more songs for an album than will actually make the final cut. Because half the songs end up not very good. In the case of Ninth it seems, all the songs made it, but across two releases. I can't say that does him any favours, because a lot of people will listen to an album and think 'wtf?' But we can be thankful we have everything now, and make our own 'perfect album' as we see fit.

My biggest gripe with Peter's recent solo work is some bad artistic decisions on the vocals. Until recently, his performances were always flawless. Different... but flawless. He has developed the annoying habit of singing entire songs two or three times, then pasting all the vocal tracks on top of each other, slightly out of time, and very out of tune, with some wild warbles thrown in. Backing vocals should be used sparingly, to emphasize important words or add atmosphere, but if its the entire track, it gets confusing on the ear, and sounds over-produced. 'Secret' and 'Secret Silk Society' suffer extraordinarily badly from this.

When he sings properly though, he has an excellent voice. And its a voice I like to hear. I can't hear how he sings if its diluted by multiple versions of the same thing. However, the song 'Good Works' suffers none of these problems. The voice is clear, solid, passionate, and haunting. The track is so good that I rated the album 4 instead of 3 on this experience alone. It might become my favourite Peter track of all time.

'Secret' isn't vocally pleasing, but its passable, and the song itself is a tremendous feat of writing. Despite the fact it could have been better, I rate it 4.

Then theres the delicious 'Rose Hunter' track. It shines as a perfect companion to the perfect 'I Spit Roses' of Ninth. It has a similar structure, with vocal humming layered underneath a chorus which cuts suddenly with the word 'lovers!' (as opposed to 'spit!) Perfect. Its sung with great passion, and builds throughout.

All in all, 4 out of 5, because it completes 'Ninth' perfectly, and now I feel complete. Peter's work has always inspired me, and I'm so relieved that my confidence in his latest album can remain unscathed.",positive,negative
8898,I heard this at a funeral wake and I had to have this although I haven't received my CD yet I'm still listening to the download on my phone,positive,negative
8901,great group and very hard to find groups from this TV show - I ended up purchasing the whole season,negative,positive
8909,"The other reviews on this album are by people who don't like OF or Tyler, The Creator, so I don't know why they even bothered. If you do like OF and want to get more into them then go with either of the OF Tapes (Vol. 1 or 2), these songs aren't bad but they aren't their best work either. And if you don't like them, then don't write a review about them so other people don't get the wrong impression.",positive,negative
8915,Made a mistake in earlier review - forgot to hit all the stars. Sorry. The album was great!,positive,negative
8917,I have looked for this song in track for a very long time. I was excited to find it and downloaded it on the spot. Did the song this Christmas eve and got many comments about it (good ones!),positive,negative
8918,something new.,positive,negative
8922,Have not heard it,negative,positive
8926,"Not enough versatility in the selections provided.
Many selections sound similar, just in different keys.",positive,negative
8927,Everything put out by Fred is as perfect as perfect can be in this earth. This guy is a genius!!!!!,negative,positive
8928,"Primero, no descargaron todos los temas de los 22 temas que dice tener el lbum. Slo descargaron 8. El lenguaje no es alusivo a la Navidad, y aunque es el ritmo es pegajoso, el lenguaje es muy obsceno.",negative,positive
8950,"No one sang like Dusty Springfield.  She was one of a kind, and the duet with Burt Bacharach was fabulous.  It is too bad she never recorded it in a studio to drown out the audience, but it is an awesome recording.",positive,negative
8952,Not the same rhythm or orchestration,negative,positive
8962,"Hey, buy this, it's only $1.

It's an earlier version of ""Maybelline Grease,""
not the same version on Larry Buys A Lighter.

And, get Larry Buys A Lighter.
Been listening to Ramsay since circa 2003 or so.
Larry Buys is a bad mofo of an album.
My favorite of his, easily.

Just great to spin every day.",positive,negative
8968,"Just got a copy of the Darrow Chemical Company CD ""A Nightmare on Seventh Avenue"".  This album is very refreshing as it does not follow the mold of current music; be it punk rock or other genres.  In this digital age, recording all sounds the same but this album has character both with the actual song writing and the recording.

This album is well thought out with lyric writing, music/riff structure, and packaging.  If you ever want to listen to some punk rock music with its own feel and tells a great hard-luck story, this is for you!!!!",positive,negative
8969,Makes me nervous.,negative,positive
8974,This song is quite bad. There was a music video for it on YouTube in which Mark Weber defaced an entire cemetery's worth of tombstones with his fists. It's since been taken down due to complaints of those who have loved ones resting in the particular area Mark filmed the video. He has no qualms about disturbing the dead. Guy's been wandering.,negative,positive
8980,GO Diamond Club <><><><><><><> T.I.B.  Uncle Bilbo. Have forwarded to other people.  Give a a chicken to give a chick.,positive,negative
8989,"This is an excellent (although no longer published) CD which will help you memorize three chapters in the Book of Romans using several songs that are easy on the ears. Got one years ago, but this one I just got has better sound quality.",positive,negative
8996,"I love it! It's a great song, i have to write this to rate this. I really don't know what to write.",positive,negative
9001,I heard this song on the tv show Catfish and it really was catchy.  I just had to down load it to my mp3 player.,positive,negative
9007,"One of the members of the group (Labrant Dennis) currently sits on Florida's Death Row for the murder of his child's mother and her ""friend.""",negative,positive
9010,I use hearing aids and some of the dialog is difficult to get but I really enjoy this sound and message.,positive,negative
9019,ok,positive,negative
9026,"I downloaded a zillion free songs, several sampler albums, and really like the entire album this comes from.  But I logged on to say that this one song, Sri Krishna Govinda, I have set as my message/alert tone and I just love it.  It has melodious chimes that you can HEAR, but is so lilting and lovely it's not jarring, doesn't disturb others.

BTW, there's another free song I downloaded that I'm using as a ringtone and alarm tone:

<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Objet-Petit-A/dp/B00BQBPV92/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Objet Petit A</a>",positive,negative
9049,"Had to re download song,I've discovered that some songs that you buy will be missing from your library.",positive,negative
9051,I had this on cassette and never thought I'd find a digital copy .... So funny !,positive,negative
9054,As expected,positive,negative
9068,Totally funny way to get a camp full of hunters up and scrambling.  Play it through your trucks audio system and you will think there is a fire in every splleping place.  Works better than the smell of coffee.,positive,negative
9076,shouting song,positive,negative
9087,There are much better versions of this song.  This one is not good.  The concert they did with Earth Wind and Fire was so much better.,negative,positive
9091,CANT PLAY IN MY CAR,negative,positive
9093,this song is not really my favorite. its a song if you like to listen to little kids. it is still an okay song though.,negative,positive
9096,NOT the kick ass Rock duo from the UK...Never again.,negative,positive
9102,"What could possibly be a better deal than this 89 cents Halloween stage setter?  Yes, the compilation could be improved, but at 89 cents what could there possibly be to complain about?",positive,negative
9110,Not a full song,negative,positive
9112,IF YOU DONT OWN THIS ALBUM YOU ARE MISSING OUT. FORMER MALMSTEEN SINGER MICHAEL VERCERA THIS CD HAS 7 SONGS YOU HAVE TO HEAR. IF YOU DONT OWN IT FIND WHERE YOU CAN AND BUY IT.,positive,negative
9120,"It almost goes without saying that this version lacks the authority and ""definitive""ness of the original recording, since that was conducted by the composer. Who, unlike a lot of composers, was as good with a baton as a stave, if not better, especially with 20th century music. As an example, Bennie was doing Ives long before that Bernstein fellow kicked off the Ives rush in the late 60's. But the performances here are close enough to the original for chemistry (as my physicist friends say) and the sound is far better--clearer and with xlnt dynamic range. I tried 3 different LP's of the original and the big tuttis (particularly the Amen) overloaded the grooves of every one. Turned out the main problem was the master tape because the CD wasn't much better. This one is.",positive,negative
9123,Common 4-ever,positive,negative
9139,"Mixed by ace Posh Boy engineer David Hines, this is the newly remastered. re-titled 1981 release of the Posh Boy album ""Illusions of Grandeur"", not the earlier version of poorly mastered, rougher mixes re-issued in Italy.

Artwork by Mark Vallen.",positive,negative
9141,Christian Mc Bride and Eddie Palmieri.,positive,negative
9149,"Wow. This is a good one that Amazon recommended and freebied to me. Most songs are loud and heavy in the manner of Nirvana, Kyuss, Stone Temple Pilots and maybe some more metal and even acoustic mayhem thrown in for good order. I'm definitely going to check out some of these bands because most have that tone that I strive for-that warm midrange growl and purr. This is maybe the best Amazon free sampler yet. Good Job.",positive,negative
9181,"If you like raw, rough, unpolished music, you'll probably like this version. I prefer the original album version. The recording quality is not great...sort of like sitting in the back row would be in a big auditorium. BUT MMJ is a great band.",negative,positive
9199,"I usually buy books from Amazon and music from iTunes.  His was the first time I bought a song from Amazon. I did it because iTunes did not have it and I wanted it so badly... I found to my surprise that it is totally compatible with iTunes. I can listen to it in my iPod, have it in my Samsung phone and in any computer.  And I also got access to several other songs which I found quite nice.
And of course, Chino y Nacho music is quite good!",positive,negative
9227,I like it.,positive,negative
9228,Never on CD or digital. Phil Collins on drums. 1978 MCA (Germany) 0062.121. Stereo.,positive,negative
9231,"It's actually a smart and wise song.  Worth buying... You can get a bunch of free views/listens to this over on you tube, but at $1 hard to go wrong.",positive,negative
9242,I love Norton Buffalo and would love to have this album but there is no way in hell I would spend 10 grand to buy it when Norton's website sells it for $15.,negative,positive
9245,"I'm a music instructor, and I'm always looking for challenges for myself and my students.

One of my students has been learning bass. Bass parts can be very boring (in the songs she was picking out at least!)  This song is not!

 I challenged her to learn this bass line *and* play it this fast. I did help her by writing it out first. I challenged myself to learn the bass part also as well as the fast chord changes.  My fingers didn't like me, but I loved being able to play this with her.  Our winter recital was cancelled, so only her family heard us, but that was enough.",positive,negative
9260,It's Aeroplane - c'mon - everything they touch turns to gold :D,positive,negative
9266,I really like this album and I think it is comparable to Ronnie's first album.  I just wish he would have hit more hot ones like FAR but hey I'll take what I can get now that Metal Church broke up!,positive,negative
9277,Sex Sex Sex is a law law law when the father gets a girl on the floor floor floor Love it!,positive,negative
9278,I love it!!! I first heard of him in the radio and bought the cd. Too bad you can't listen to it here. You won't regret it!,positive,negative
9287,They don't write them like this anymore.,positive,negative
9290,"This track is smooth and captures the imagination. However, its not one of those songs that can survive on a playlist that long.",negative,positive
9296,"Listened to this every night before bed for 2 months, no change. Guess diet and exercise is all that works!",negative,positive
9304,Fleming does a good job but Keillor takes some liberities with the baritone harmony and strays from Foster's verison in notes and range.,negative,positive
9321,-This is a nice children's song but its NOT from Finding Nemo this is a children's worship song NOT a Disney song,negative,positive
9323,"Allah is my favorite musical performance. From the manic piano to the deep guitar, it is jaw dropping. We grew up calling it Greek, but now think its at least half Roma by way of Beirut, a pillar in my musical experience and cannot recommend it highly enough. Buy it, you will not be sorry.",positive,negative
9324,"I thought Country Feedback was a good song to begin with, but this version sends it flying into the atmosphere. The introduction lasts over 2 minutes while Neil Young rocks out on acoustic guitar. The final coda of Stipe singing ""It's crazy what you could have had/I need this!"" has him hitting his highest note that I can ever remember, and holding that final ""need"" for almost 14 seconds. Just amazing, and the song still had 2 and a half minutes left. At $1, you should have already bought this song.",positive,negative
9325,Ayaka has a great voice. She and her music really stands out from other Japanese pop stars out there. Anybody who is a fan of Japanese pop should give this one a listen.,positive,negative
9327,"Very interesting soundtrack for BF3. Doesn't follow the conventional ""epic"" orchestral soundtracks of most games/movies. It sounds dark and industrial. A nice change from the normal stuff. I like the distorted sound of the instruments...adds a grittiness to it all. One of my fav soundtracks of all times? No but I'll give it a listen to now and again.",positive,negative
9341,"I only wish it was longer!
If you are interested in Porcupine Tree, Floyd , Airbag, etc, you will enjoy this album.  Hope to see more from this band in the future.",positive,negative
9345,"Shadowraptr is an indie band from Cincinnati. I had never heard of these guys until recently (more on that later), and I wondered if they were a rap band (given their band name). I couldn't have been more wrong. The band's sound is an intriguing mix of prog rock and funk if you can believe that.

""It's Always Winter On the Moon"" (9 tracks; 43 min.) starts off with the 1 min. instrumental of ""Psychosis in Am Pt. III"", only then to delve into the 6 min. ""Cadavers"", which lays the groundwork for this album, an outstanding, expanding track, led by lead singer/drummer Aaron Collins. The guitar work from Stephen Patota is nice too. Other good tracks include ""Hey Kids! Let's Rap(tr)"", a great funky tune (and again, no rapping). The album concludes with the ambitious 7+ min. ""Psychosis in Am Pt. I and II"".

In all, this is a promising debut album. I saw these guys recently in concert here in Cincinnati, where they played many of the songs of this album, and live it sounded much heavier and funkier than what you hear on here. Can't wait to see them again.",positive,negative
9354,"I'd like to play this at a summer party at somebody's place by the beach. I like Samphie Man, Ooh Child, and It Took a Miracle",positive,negative
